GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,1022300235,130,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,0,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20230910,ATL,DAL
Shot Chart Detail,1022300235,133,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,0,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20230910,ATL,DAL
Shot Chart Detail,1022300235,230,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,3,42,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,12,1,1,20230910,ATL,DAL
Shot Chart Detail,1022300235,411,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,0,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,134,1,1,1,20230910,ATL,DAL
Shot Chart Detail,1022300231,209,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,5,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,13,1,1,20230908,WAS,ATL
Shot Chart Detail,1022300231,221,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,4,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,3,1,1,20230908,WAS,ATL
Shot Chart Detail,1022300218,304,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,0,34,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,15,1,1,20230901,MIN,ATL
Shot Chart Detail,1022300218,310,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,0,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20230901,MIN,ATL
Shot Chart Detail,1022300218,381,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,5,59,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,1,20230901,MIN,ATL
Shot Chart Detail,1022300218,419,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,2,36,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,25,1,1,20230901,MIN,ATL
Shot Chart Detail,1022300218,606,1631044,Naz Hillmon,1611661330,Atlanta Dream,5,3,24,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,18,31,1,0,20230901,MIN,ATL
Shot Chart Detail,1022300218,628,1631044,Naz Hillmon,1611661330,Atlanta Dream,5,1,15,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,12,1,0,20230901,MIN,ATL
Shot Chart Detail,1022300210,78,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,4,8,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20230829,ATL,PHO
Shot Chart Detail,1022300210,125,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,2,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20230829,ATL,PHO
Shot Chart Detail,1022300210,196,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,5,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,26,1,1,20230829,ATL,PHO
Shot Chart Detail,1022300210,209,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,4,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20230829,ATL,PHO
Shot Chart Detail,1022300210,244,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,2,9,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,37,64,1,0,20230829,ATL,PHO
Shot Chart Detail,1022300206,104,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,2,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20230827,IND,ATL
Shot Chart Detail,1022300206,320,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,6,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,0,1,0,20230827,IND,ATL
Shot Chart Detail,1022300206,341,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,4,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,3,1,0,20230827,IND,ATL
Shot Chart Detail,1022300206,387,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,2,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20230827,IND,ATL
Shot Chart Detail,1022300206,411,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,0,1,1,20230827,IND,ATL
Shot Chart Detail,1022300206,434,1631044,Naz Hillmon,1611661330,Atlanta Dream,4,8,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20230827,IND,ATL
Shot Chart Detail,1022300206,499,1631044,Naz Hillmon,1611661330,Atlanta Dream,4,3,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,0,20230827,IND,ATL
Shot Chart Detail,1022300202,93,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,2,16,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,44,1,1,20230825,ATL,LAS
Shot Chart Detail,1022300202,334,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,3,22,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,19,1,0,20230825,ATL,LAS
Shot Chart Detail,1022300202,400,1631044,Naz Hillmon,1611661330,Atlanta Dream,4,7,37,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20230825,ATL,LAS
Shot Chart Detail,1022300193,51,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,6,20,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,35,1,0,20230822,ATL,LVA
Shot Chart Detail,1022300193,134,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,20,1,1,20230822,ATL,LVA
Shot Chart Detail,1022300193,265,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,2,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,15,1,0,20230822,ATL,LVA
Shot Chart Detail,1022300193,321,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,8,56,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,15,1,1,20230822,ATL,LVA
Shot Chart Detail,1022300193,350,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,6,38,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,12,1,0,20230822,ATL,LVA
Shot Chart Detail,1022300185,24,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,7,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,15,1,1,20230818,ATL,CHI
Shot Chart Detail,1022300185,26,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,7,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,34,1,1,20230818,ATL,CHI
Shot Chart Detail,1022300185,60,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,4,35,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,0,20230818,ATL,CHI
Shot Chart Detail,1022300185,96,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,2,44,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,29,1,0,20230818,ATL,CHI
Shot Chart Detail,1022300185,98,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,2,40,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,0,20230818,ATL,CHI
Shot Chart Detail,1022300185,288,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,8,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,1,20230818,ATL,CHI
Shot Chart Detail,1022300185,302,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,7,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,34,1,1,20230818,ATL,CHI
Shot Chart Detail,1022300181,128,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,5,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,17,1,1,20230813,LVA,ATL
Shot Chart Detail,1022300176,61,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,5,9,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,-2,1,0,20230812,LAS,ATL
Shot Chart Detail,1022300173,468,1631044,Naz Hillmon,1611661330,Atlanta Dream,4,9,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-183,27,1,0,20230810,SEA,ATL
Shot Chart Detail,1022300162,380,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,3,41,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,-3,1,0,20230806,ATL,IND
Shot Chart Detail,1022300162,438,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,2,58,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-35,29,1,0,20230806,ATL,IND
Shot Chart Detail,1022300156,96,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,3,32,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,13,1,0,20230803,PHO,ATL
Shot Chart Detail,1022300156,125,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,1,11,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,9,1,0,20230803,PHO,ATL
Shot Chart Detail,1022300156,136,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-143,17,1,0,20230803,PHO,ATL
Shot Chart Detail,1022300153,78,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,5,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,-7,1,0,20230801,LVA,ATL
Shot Chart Detail,1022300153,132,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,14,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,30,1,1,20230801,LVA,ATL
Shot Chart Detail,1022300153,545,1631044,Naz Hillmon,1611661330,Atlanta Dream,4,0,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-147,77,1,0,20230801,LVA,ATL
Shot Chart Detail,1022300146,143,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,33,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,33,1,0,20230730,ATL,WAS
Shot Chart Detail,1022300146,166,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,8,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,22,1,1,20230730,ATL,WAS
