203025,"Abdi, Farhiya",0,2013,2015,0,
100023,"Abraham, Tajama",0,1997,1998,0,
100658,"Abrosimova, Svetlana",0,2001,2012,0,
203831,"Achonwa, Natalie",0,2015,2023,0,
201882,"Adair, Jessica",0,2010,2012,0,
202634,"Adams, Danielle",0,2011,2017,0,
100836,"Adams, Jordan",0,2003,2003,0,
1630153,"Agnew, Jaylyn",0,2020,2021,0,
100601,"Aguilar, Elisa",0,2002,2002,0,
201492,"Ajavon, Matee",0,2008,2017,0,
1628262,"Akhator, Evelyn",0,2017,2017,0,
1630093,"Alarie, Bella",0,2020,2022,0,
100158,"Alberts, Marcie",0,1997,1997,0,
100348,"Aldridge, Markita",0,1999,2001,0,
100168,"Alexander, Erin",0,1998,1998,0,
203405,"Alexander, Kayla",0,2013,2020,0,
100218,"Alhaleem, Towana",0,2001,2001,0,
1627700,"Allemand, Julie",0,2020,2022,0,
201513,"Allen, Charel",0,2008,2008,0,
1628263,"Allen, Lindsay",1,2017,2024,0,sky
204296,"Allen, Rebecca",1,2015,2024,0,mercury
1627687,"Alleyne, Jillian",0,2019,2021,0,
1627691,"Alston, Ameryst",0,2016,2017,0,
100527,"Amachree, Mactabene",0,2001,2005,0,
100036,"Ambers, Monique",0,1997,2002,0,
1641656,"Amihere, Laeticia",1,2023,2024,0,dream
200687,"Anderson, Ambrosia",0,2006,2006,0,
100873,"Anderson, Chantelle",0,2003,2007,0,
201485,"Anderson, Jolene",0,2008,2008,0,
100553,"Anderson, Keisha",0,2000,2002,0,
1628304,"Anderson, Yvonne",0,2022,2022,0,
100428,"Andrade, Mery",0,1999,2004,0,
100026,"Angel, Yvette",0,1997,1997,0,
1629485,"Anigwe, Kristine",0,2019,2023,0,
201500,"Anosike, Nicky",0,2008,2012,0,
202251,"Appel Marinelli, Jayne",0,2010,2016,0,
100075,"Arcain, Janeth",0,1997,2005,0,
203428,"Armstrong, Anne Marie",0,2013,2013,0,
100067,"Artis, Katasha",0,1997,1997,0,
100037,"Askamp, Marlies",0,1997,2002,0,
1628878,"Atkins, Ariel",1,2018,2024,0,mystics
200679,"Atkinson, La'Tangela",0,2006,2009,0,
201478,"Atunrase, Morenike",0,2008,2008,0,
1631056,"Atwell, Amy",1,2022,2024,0,mercury
200671,"Augustus, Seimone",0,2006,2020,0,
1631022,"Austin, Shakira",1,2022,2024,0,mystics
204468,"Ayayi, Valeriane",0,2015,2015,0,
100441,"Aycock, Angela",0,1999,2000,0,
202629,"Ayim, Miranda",0,2011,2011,0,
100847,"Aziz, Leigh",0,2003,2003,0,
100382,"Azzi, Jennifer",0,1999,2003,0,
100237,"Bader Binford, Tricia",0,1998,2002,0,
200682,"Baker, Sherill",0,2006,2009,0,
201054,"Bales, Alison",0,2007,2011,0,
100535,"Banchero, Rhonda",0,2000,2000,0,
1627671,"Banham, Rachel",1,2016,2024,0,sky
100043,"Baranova, Elena",0,1997,2005,0,
100231,"Barnes, Adia",0,1998,2004,0,
100230,"Barnes, Quacy",0,1998,2002,0,
200691,"Bass, Mistie",0,2006,2016,0,
100878,"Batkovic-Brown, Suzy",0,2005,2009,0,
101035,"Batteast, Jacqueline",0,2005,2006,0,
101047,"Battle, Ashley",0,2005,2010,0,
100294,"Bauer-Bilodeau, Cass",0,1999,2002,0,
203037,"Baugh, Vicki",0,2014,2016,0,
100949,"Beard, Alana",0,2004,2019,0,
100041,"Becenti, Ryneldi",0,1997,1997,0,
201517,"Beck, Kimberly",0,2008,2008,0,
1629495,"Bell, Kenisha",0,2019,2019,0,
1631006,"Bell, Kierstan",1,2022,2024,0,aces
1627648,"Belyakova, Evgeniia",0,2016,2016,0,
1628868,"Ben Abdelkader, Hind",0,2018,2018,0,
100921,"Benningfield, Jenni",0,2005,2005,0,
203410,"Bentley, Alex",0,2013,2019,0,
1631081,"Benzan, Katie",0,2022,2022,0,
201491,"Berezhynska, Val",0,2008,2008,0,
1641658,"Berger, Grace",1,2023,2024,0,fever
100739,"Berthieu, Lucienne",0,2002,2004,0,
1629571,"Bertsch, Morgan",0,2023,2024,0,
100284,"Bevilaqua, Tully",0,1998,2012,0,
203839,"Bias, Tiffany",0,2014,2019,0,
100508,"Bibby, Jessica",0,2000,2000,0,
100912,"Bibrzycka, Agnieszka",0,2003,2006,0,
1641698,"Bickle, Caitlin",1,2024,2024,0,sun
1628881,"Billings, Monique",1,2018,2024,0,mercury
100720,"Bird, Sue",0,2002,2022,0,
202249,"Bishop, Abby",0,2010,2016,0,
100391,"Bjedov, Nina",0,1999,1999,0,
202637,"Bjorklund, Angie",0,2011,2011,0,
100979,"Bjorklund, Tera",0,2004,2004,0,
201884,"Black, Chante",0,2009,2013,0,
100359,"Black, Debbie",0,1999,2004,0,
100108,"Blades, Rhonda",0,1997,1998,0,
100183,"Blodgett, Cindy",0,1998,2001,0,
200689,"Blue, Nikki",0,2006,2010,0,
100169,"Blue, Octavia",0,1998,2004,0,
201497,"Bobbitt, Shannon",0,2008,2012,0,
201885,"Boddie, Whitney",0,2009,2009,0,
100016,"Bolton, Ruthie",0,1997,2004,0,
200697,"Bond, LaToya",0,2006,2008,0,
203402,"Bone, Kelsey",0,2013,2018,0,
100799,"Bonfiglio, Susanna",0,2002,2002,0,
201886,"Bonner, DeWanna",1,2009,2024,0,sun
100053,"Booker, Karen",0,1997,1998,0,
1641648,"Boston, Aliyah",1,2023,2024,0,fever
100095,"Boucek, Jenny",0,1997,1997,0,
100177,"Boucher, Kelly",0,1998,1998,0,
200714,"Bowen, Lindsay",0,2007,2007,0,
100859,"Bowie, Tamara",0,2003,2003,0,
100269,"Boyd, Carla",0,1998,2001,0,
204327,"Boyd-Jones, Brittany",0,2015,2021,0,
204325,"Bradford, Crystal",0,2015,2021,0,
203844,"Brandon, Gennifer",0,2014,2014,0,
100212,"Branzova, Albena",0,1998,1998,0,
100246,"Branzova, Gergana",0,1998,1998,0,
203070,"Bravard, Cierra",0,2013,2013,0,
100087,"Braxton, Janice",0,1997,1999,0,
101025,"Braxton, Kara",0,2005,2014,0,
100368,"Braziel, Angie",0,1999,2001,0,
100253,"Brcaninovic, Razija",0,1998,1998,0,
202638,"Breland, Jessica",0,2011,2021,0,
1630095,"Brewer, Brittany",0,2020,2020,0,
1642287,"Brink, Cameron",1,2024,2024,0,sparks
100629,"Bristol, Reshea",0,2001,2001,0,
100221,"Brogan, Michelle",0,1998,2001,0,
100247,"Brondello, Sandy",0,1998,2003,0,
100248,"Brown, Cindy",0,1998,1999,0,
100848,"Brown, Coretta",0,2003,2006,0,
100492,"Brown, Edwina",0,2000,2006,0,
1642240,"Brown, Jaelyn",1,2024,2024,0,wings
1629480,"Brown, Kalani",1,2019,2024,0,wings
100651,"Brown, Kiesha",0,2002,2010,0,
100193,"Brown, La'Shawn",0,1998,1998,0,
1641665,"Brown, Leigha",0,2023,2023,0,
100383,"Brown, Lesley",0,1999,1999,0,
1628882,"Brown, Lexie",1,2018,2024,0,sparks
100097,"Brown, Rushia",0,1997,2003,0,
1642309,"Brown-Turner, Jakia",0,2024,2024,0,
100481,"Brumfield, Marla",0,2000,2003,0,
100916,"Brungo, Jessica",0,2004,2006,0,
1628265,"Brunner, Sophie",0,2017,2017,0,
100944,"Brunson, Rebekkah",0,2004,2018,0,
1627679,"Bulgak, Adut",0,2016,2017,0,
100058,"Bullett, Vicky",0,1997,2002,0,
204332,"Burdick, Cierra",0,2015,2021,0,
100156,"Burge, Heidi",0,1997,1998,0,
100401,"Burgess, Annie",0,1999,2003,0,
100011,"Burgess, Linda",0,1997,2000,0,
1629568,"Burke, Kennedy",1,2019,2024,0,liberty
100429,"Burras, Alisa",0,1999,2003,0,
1630996,"Burrell, Rae",1,2022,2024,0,sparks
100660,"Burse, Janell",0,2001,2009,0,
1631007,"Burton, Veronica",1,2022,2024,0,sun
203046,"Butler, Briana",0,2012,2015,0,
203874,"Butler, Heather",0,2014,2014,0,
100934,"Butts, Tasha",0,2004,2004,0,
100027,"Byears, Latasha",0,1997,2008,0,
203020,"Cain, Kelley",0,2012,2014,0,
1630471,"Caldwell, Maya",1,2022,2024,0,dream
202633,"Cambage, Liz",0,2011,2022,0,
100375,"Campbell, Edna",0,1999,2005,0,
100360,"Campbell, Michelle",0,1999,2000,0,
202314,"Campbell, Michelle",0,2013,2013,0,
1628886,"Canada, Jordin",1,2018,2024,0,dream
1628242,"Cannon, Emma",0,2017,2024,0,
100384,"Canty, Dominique",0,1999,2012,0,
1642289,"Cardoso, Kamilla",1,2024,2024,0,sky
101053,"Carey, Jamie",0,2005,2008,0,
1629524,"Carleton, Bridget",1,2019,2024,0,lynx
1630096,"Carrington, DiJonai",1,2021,2024,0,sun
201502,"Carson, Essence",0,2008,2020,0,
100938,"Carter, Amisha",0,2004,2005,0,
1629573,"Carter, Arica",0,2019,2019,0,
1630150,"Carter, Chennedy",1,2020,2024,0,sky
100052,"Carter, Deborah",0,1997,1998,0,
1642305,"Carter, Jessika",0,2024,2024,0,
203039,"Carter, Sydney",0,2012,2015,0,
100721,"Cash, Swin",0,2002,2016,0,
100451,"Cassidy, Jamie",0,2000,2000,0,
100796,"Castro Marques, Iziane",0,2002,2013,0,
100646,"Catchings, Tamika",0,2002,2016,0,
100733,"Caufield, LaNeishea",0,2002,2002,0,
1629569,"Cazorla, Maite",0,2019,2019,0,
100213,"Cebrian, Elisabeth",0,1998,2000,0,
100194,"Chaconas, Keri",0,1998,1998,0,
201087,"Chambers, Cori",0,2007,2007,0,
201481,"Chaney, Quianna",0,2008,2008,0,
100741,"Chapman-Daily, Jill",0,2002,2002,0,
100005,"Charles, Daedra",0,1997,1997,0,
1630097,"Charles, Kaila",0,2020,2023,0,
202250,"Charles, Tina",1,2010,2024,0,dream
100178,"Chase, Sonia",0,1998,1999,0,
202285,"Cheek, Joy",0,2010,2011,0,
202639,"Chester-Wootton, Felicia",0,2011,2011,0,
100950,"Chones, Kaayla",0,2004,2006,0,
1628267,"Chong, Saniya",0,2017,2018,0,
100759,"Christensen, Kayte",0,2002,2007,0,
202640,"Christmas-Kelly, Karima",0,2011,2020,0,
100937,"Christon, Shameka",0,2004,2015,0,
201922,"Cirone, Kristi",0,2009,2009,0,
203406,"Clarendon, Layshia",1,2013,2024,0,sparks
202252,"Clark, Alysha",1,2012,2024,0,aces
1642286,"Clark, Caitlin",1,2024,2024,0,fever
100162,"Clark, Margo",0,1997,1997,0,
100594,"Cleary, Michelle",0,2000,2001,0,
203451,"Clements, Courtney",0,2013,2015,0,
100534,"Clinesmith, Stacy",0,2000,2002,0,
204333,"Cloud, Natasha",1,2015,2024,0,mercury
1631002,"Clouden, Nia",0,2022,2023,0,
1628268,"Coates, Alaina",0,2018,2023,0,
1628269,"Coffey, Nia",1,2017,2024,0,dream
201095,"Coggins, Claire",0,2007,2007,0,
100958,"Coker, Monique",0,2004,2004,0,
100827,"Coleman, Courtney",0,2003,2003,0,
201889,"Coleman, Marissa",0,2009,2018,0,
203814,"Colhado, Nadia",0,2014,2017,0,
100009,"Colleton, Katrina",0,1997,2001,0,
1630454,"Collier, Charli",0,2021,2022,0,
1629483,"Collier, Napheesa",1,2019,2024,0,lynx
202641,"Colson, Sydney",1,2011,2024,0,aces
100051,"Compain, Megan",0,1997,1997,0,
100065,"Congreaves, Andrea",0,1997,1999,0,
100688,"Consuegra, Cara",0,2001,2001,0,
1641660,"Cooke, Zia",1,2023,2024,0,sparks
100652,"Cooper, Camille",0,2001,2002,0,
100073,"Cooper, Cynthia",0,1997,2003,0,
1630099,"Cooper, Te'a",0,2020,2021,0,
1627674,"Copper, Kahleah",1,2016,2024,0,mercury
1627635,"Cortijo, Carla",0,2015,2016,0,
1630100,"Cox, Lauren",0,2020,2023,0,
100529,"Crawley, Sylvia",0,2000,2003,0,
200692,"Crockett, Willnett",0,2008,2008,0,
100730,"Crockrom, Danielle",0,2002,2003,0,
100665,"Cronin, Katie",0,2003,2006,0,
100110,"Crumpton-Moorer, Cassandra",0,1997,1997,0,
203813,"Cruz, Anna",0,2014,2016,0,
1631032,"Cubaj, Lorela",1,2022,2024,0,dream
1631072,"Cunane, Elissa",0,2022,2022,0,
100554,"Cunningham, Beth",0,2000,2000,0,
100743,"Cunningham, Davalyn",0,2002,2002,0,
1629482,"Cunningham, Sophie",1,2019,2024,0,mercury
200673,"Currie, Monique",0,2006,2018,0,
100760,"Curry, Edniesha",0,2003,2005,0,
204302,"Dabovic, Ana",0,2015,2016,0,
100722,"Dales, Stacey",0,2002,2007,0,
100482,"Daley, Grace",0,2000,2003,0,
1630101,"Dangerfield, Crystal",1,2020,2024,0,sparks
203024,"Dantas, Damiris",1,2014,2024,0,fever
100457,"Darling, Helen",0,2000,2010,0,
201047,"Davenport, Jessica",0,2007,2013,0,
200725,"Davis, Brandi",0,2006,2006,0,
201061,"Davis, Dee",0,2007,2007,0,
1628273,"Davis, Kaela",1,2017,2024,0,sky
1642301,"Davis, Marquesha",1,2024,2024,0,liberty
1630452,"Davis, Rennia",0,2021,2022,0,
201890,"Davis-Cain, Tenae",0,2009,2009,0,
100377,"Davis-Wrightsil, Clarissa",0,1999,1999,0,
100493,"DeForge, Anna",0,2000,2009,0,
1628890,"DeShields, Diamond",1,2018,2024,0,sky
203399,"Delle Donne, Elena",0,2013,2023,0,
100975,"Derevjanik, Jennifer",0,2004,2008,0,
1628358,"Diarra, Maimouna",0,2017,2017,0,
100483,"Dickerson, Keitha",0,2000,2001,0,
1631029,"Dickey, Jasmine",0,2022,2023,0,
204355,"Dietrick, Blake",0,2016,2021,0,
203400,"Diggins-Smith, Skylar",1,2013,2024,0,storm
100866,"Dillard, Tai",0,2003,2005,0,
1627639,"Dimitrakou, Zoi",0,2016,2016,0,
1641700,"Dixon, Liz",0,2023,2024,0,
100008,"Dixon, Tamecka",0,1997,2009,0,
